Table,Section,Layer
SHS 100x100x5.0,AS-NZS SHS - CF C350,B1
SHS 100x100x6.0,AS-NZS SHS - CF C350,B2
RHS 100x50x3.0,AS-NZS RHS - CF C350,B3
RHS 100x50x2.0,AS-NZS RHS - CF C350,B4
RHS 100x50x3.5,AS-NZS RHS - CF C350,B5
RHS 100x50x4.0,AS-NZS RHS - CF C350,B6
CHS 101.6x4.0,AS-NZS CHS - CF C250,B7
CHS 114.3x5.4,AS-NZS CHS - CF C250,B8
UB 200x18.2,AS-NZS Universal Beam,B8
PFC 180,AS-NZS Parallel Flange Channel,B8
